customer_id,donation_id,donation_date,donation_end_date,donation_amount,product,channel_pay
6768504,1263079.1,2025-07-14,,20.0,General_Donation,Bank Transfer
1159004,12804901.3,2025-08-17,,20.0,Membership_TopUp,Bank Transfer
3020804,12747087.3,2025-03-14,,20.0,Membership_TopUp,Bank Transfer
2095404,1252896.1,2024-12-15,,20.0,General_Donation,Bank Transfer
9073704,1252602.1,2024-12-12,,20.0,General_Donation,Bank Transfer
3521304,12545255.3,2024-03-03,,20.0,General_Donation,Bank Transfer
2249194,12618494.3,2024-09-05,,20.0,Membership_TopUp,Bank Transfer
6193994,12562599.3,2024-04-18,,20.0,Membership_TopUp,Bank Transfer
843094,12572581.3,2024-05-01,,20.0,Membership_TopUp,Bank Transfer
9276094,12718259.3,2025-02-04,,20.0,General_Donation,Bank Transfer
2300604,12651674.3,2024-11-01,,20.0,General_Donation,Bank Transfer
5819194,12599168.3,2024-08-12,,20.0,Membership_TopUp,Bank Transfer
1929894,12655429.3,2024-11-04,,20.0,Membership_TopUp,Bank Transfer
6215804,12775989.3,2025-05-02,,20.0,Membership_TopUp,Bank Transfer
2316304,1237143.1,2024-02-22,,20.0,General_Donation,Bank Transfer
4028504,1259147.1,2025-04-20,,24.0,General_Donation,Bank Transfer
3777704,1253236.1,2024-12-19,,24.0,General_Donation,Bank Transfer
1044894,1247578.1,2024-09-15,,30.0,General_Donation,Bank Transfer
9832704,1260398.1,2025-05-17,,30.0,General_Donation,Bank Transfer
5019404,1242426.1,2024-06-10,,30.0,General_Donation,Bank Transfer
3767404,1241395.1,2024-05-24,,30.0,General_Donation,Bank Transfer
7769194,1249886.1,2024-10-28,,30.0,General_Donation,Bank Transfer
3458094,12658545.3,2024-11-08,,35.0,Membership_TopUp,Bank Transfer
5362894,12655509.3,2024-11-05,,35.0,Membership_TopUp,Bank Transfer
3822104,1261310.1,2025-06-08,,36.0,General_Donation,Bank Transfer
4450304,1235456.1,2024-01-13,,36.0,General_Donation,Bank Transfer
8801704,1262797.1,2025-07-06,,38.0,Membership,Bank Transfer
1660304,1235491.1,2024-01-13,2024-03-21,38.0,Membership,Bank Transfer
1333194,1241931.1,2024-06-02,,40.0,General_Donation,Bank Transfer
2832704,1250293.1,2024-11-04,,40.0,General_Donation,Bank Transfer
6819504,1258791.1,2025-04-13,,40.0,General_Donation,Bank Transfer
4134604,1248004.1,2024-09-26,,40.0,General_Donation,Bank Transfer
5772504,1259775.1,2025-05-04,,40.0,General_Donation,Bank Transfer
9574504,1258817.1,2025-04-13,,40.0,General_Donation,Bank Transfer
9070094,1259203.1,2025-04-21,,40.0,General_Donation,Bank Transfer
7319504,1258828.1,2025-04-13,,40.0,General_Donation,Bank Transfer
790604,12809348.3,2025-08-19,,45.0,Membership_TopUp,Bank Transfer
6585404,12601483.3,2024-08-12,,45.0,Membership_TopUp,Bank Transfer
6084504,12746872.3,2025-03-13,,45.0,Membership_TopUp,Bank Transfer
2872504,12747290.3,2025-03-14,,45.0,Membership_TopUp,Bank Transfer
8098694,12508869.3,2024-02-04,,45.0,Membership_TopUp,Bank Transfer
6162904,12803785.3,2025-08-15,,45.0,Membership_TopUp,Bank Transfer
8478504,12711612.3,2024-12-21,,45.0,Membership_TopUp,Bank Transfer
4664504,12680307.3,2024-12-01,,45.0,Membership_TopUp,Bank Transfer
3307804,1255231.1,2025-01-25,2025-02-02,48.0,Membership,Bank Transfer
1252004,1258272.1,2025-03-30,2025-03-30,48.0,Membership,Bank Transfer
5133604,1247397.1,2024-09-12,2024-09-13,48.0,Membership,Bank Transfer
7656204,1264662.1,2025-08-20,,48.0,Membership,Bank Transfer
7815204,1264252.1,2025-08-12,,48.0,Membership,Bank Transfer
2253004,1258454.1,2025-04-04,2025-05-08,48.0,Membership,Bank Transfer
9496704,1250049.1,2024-11-01,2025-01-16,48.0,Membership,Bank Transfer
4039804,1255849.1,2025-02-08,2025-06-28,48.0,Membership,Bank Transfer
9055104,1262204.1,2025-06-24,2025-06-27,48.0,Membership,Bank Transfer
7061504,1243480.1,2024-06-30,,48.0,General_Donation,Bank Transfer
2492404,1238853.1,2024-03-29,2024-08-31,48.0,Membership,Bank Transfer
2492404,1238869.1,2024-03-29,2024-08-31,48.0,Membership,Bank Transfer
1402404,1238525.1,2024-03-22,2024-04-08,48.0,Membership,Bank Transfer
4547004,1259437.1,2025-04-27,2025-07-10,48.0,Membership,Bank Transfer
9811704,1248266.1,2024-09-29,2024-09-29,48.0,Membership,Bank Transfer
9850104,1263208.1,2025-07-18,2025-07-18,48.0,Membership,Bank Transfer
1129804,1255774.1,2025-02-07,2025-02-08,48.0,Membership,Bank Transfer
9383504,1244436.1,2024-07-19,2024-07-19,48.0,Membership,Bank Transfer
2549404,1242573.1,2024-06-15,2024-06-16,48.0,Membership,Bank Transfer
6735404,1240014.1,2024-04-27,2024-04-28,48.0,Membership,Bank Transfer
4370304,1235577.1,2024-01-14,2024-05-18,48.0,Membership,Bank Transfer
5746104,1262356.1,2025-06-28,,48.0,Membership,Bank Transfer
6562804,1253151.1,2024-12-18,2024-12-20,48.0,Membership,Bank Transfer
4351904,1256308.1,2025-02-16,2025-03-06,48.0,Membership,Bank Transfer
915104,1261866.1,2025-06-20,,48.0,Membership,Bank Transfer
5870004,1260789.1,2025-05-26,,48.0,Membership,Bank Transfer
2071904,1256385.1,2025-02-17,,48.0,Membership,Bank Transfer
3164004,1258779.1,2025-04-13,,48.0,General_Donation,Bank Transfer
6001604,1246769.1,2024-08-31,2024-09-21,48.0,Membership,Bank Transfer
1270804,1252047.1,2024-12-05,2025-04-19,48.0,Membership,Bank Transfer
8669104,1263153.1,2025-07-17,,48.0,Membership,Bank Transfer
9086104,1262555.1,2025-06-30,,48.0,Membership,Bank Transfer
3815104,1261976.1,2025-06-20,2025-07-21,48.0,Membership,Bank Transfer
1229504,1246424.1,2024-08-25,2024-12-20,48.0,Membership,Bank Transfer
4458804,1255678.1,2025-02-03,2025-02-09,48.0,Membership,Bank Transfer
9683704,1249589.1,2024-10-23,2024-11-18,48.0,Membership,Bank Transfer
9905804,1254501.1,2025-01-13,2025-06-02,48.0,Membership,Bank Transfer
8511704,1248280.1,2024-09-29,,48.0,General_Donation,Bank Transfer
2971004,12778020.3,2025-05-15,2025-05-17,48.0,Membership,Bank Transfer
2712804,1252764.1,2024-12-14,2025-05-09,48.0,Membership,Bank Transfer
5929504,1246575.1,2024-08-27,2024-09-16,48.0,Membership,Bank Transfer
8342404,1238845.1,2024-03-28,2024-03-28,48.0,Membership,Bank Transfer
5746204,1264484.1,2025-08-17,,48.0,Membership,Bank Transfer
5563004,1258644.1,2025-04-06,2025-04-06,48.0,Membership,Bank Transfer
7252904,1256583.1,2025-02-22,2025-07-04,48.0,Membership,Bank Transfer
6506804,1254677.1,2025-01-17,2025-01-27,48.0,Membership,Bank Transfer
1783804,1253659.1,2024-12-24,2025-05-08,48.0,Membership,Bank Transfer
8593404,1239431.1,2024-04-09,2024-05-02,48.0,Membership,Bank Transfer
8157004,1259516.1,2025-04-28,2025-05-26,48.0,Membership,Bank Transfer
456204,1264642.1,2025-08-19,,48.0,Membership,Bank Transfer
8056204,1264613.1,2025-08-18,,48.0,Membership,Bank Transfer
5115204,1264247.1,2025-08-11,,48.0,Membership,Bank Transfer
225804,1254563.1,2025-01-16,2025-06-16,48.0,Membership,Bank Transfer
3420904,1255967.1,2025-02-10,2025-02-10,48.0,Membership,Bank Transfer
7197704,1251156.1,2024-11-22,2024-11-22,48.0,Membership,Bank Transfer
3673704,1249450.1,2024-10-20,2024-11-04,48.0,Membership,Bank Transfer
6754904,1257181.1,2025-03-08,2025-08-07,48.0,Membership,Bank Transfer
520604,1259178.1,2025-04-20,2025-05-04,48.0,Membership,Bank Transfer
7121804,1252222.1,2024-12-07,2025-05-07,48.0,Membership,Bank Transfer
4012704,1248883.1,2024-10-10,2024-12-02,48.0,Membership,Bank Transfer
6119404,1242399.1,2024-06-10,2024-06-24,48.0,Membership,Bank Transfer
777404,1241601.1,2024-05-26,2024-06-29,48.0,Membership,Bank Transfer
